number,name,node_id,width,height,url
1,Template 01,2:68,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=2-68
2,Template 02,3:253,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=3-253
3,Template 03,4:2159,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=4-2159
4,Template 04,4:2158,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=4-2158
5,Template 05,301:12047,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12047
6,Template 06,301:12048,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12048
7,Template 07,301:10061,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10061
8,Template 08,301:10067,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10067
9,Template 09,301:10150,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10150
10,Template 10,301:10233,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10233
11,Template 11,301:10342,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10342
12,Template 12,301:10405,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10405
13,Template 13,301:10515,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10515
14,Template 14,301:10621,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10621
15,Template 15,301:10707,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10707
16,Template 16,301:10790,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10790
17,Template 17,301:10832,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10832
18,Template 18,301:10887,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-10887
19,Template 19,301:11027,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11027
20,Template 20,301:11072,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11072
21,Template 21,301:11175,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11175
22,Template 22,301:11295,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11295
23,Template 23,301:11357,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11357
24,Template 24,301:11433,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11433
25,Template 25,301:11752,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11752
26,Template 26,301:11898,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11898
27,Template 27,301:11976,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-11976
28,Template 28,301:12050,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12050
29,Template 29,301:12104,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12104
30,Template 30,301:12159,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12159
31,Template 31,301:12218,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12218
32,Template 32,301:12277,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12277
33,Template 33,301:12312,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12312
34,Template 34,301:12340,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12340
35,Template 35,301:12418,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12418
36,Template 36,301:12492,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12492
37,Template 37,301:12579,595,842,https://www.figma.com/design/WKNUAWm03PdRj6FXZqPQ9j/-60-Resume-CV-Templates--Community-?node-id=301-12579
